vote_intention,support_biden,party,education,race,age_group,gender
Other,No,Republican,Other,White,31-61,Male
Other,Yes,Democratic,Other,White,62-95,Male
Other,Yes,Democratic,Other,White,62-95,Female
Other,Yes,Other,Other,White,62-95,Female
Other,Yes,Other,Other,White,31-61,Female
Other,Yes,Democratic,Postgrad,White,31-61,Female
Other,Yes,Democratic,College,White,31-61,Female
Other,Yes,Republican,Other,Asian,31-61,Female
Other,Yes,Democratic,Postgrad,White,62-95,Male
Other,Yes,Democratic,Other,White,62-95,Male
Other,Yes,Democratic,Other,White,31-61,Female
Other,Yes,Democratic,Other,White,31-61,Male
Other,No,Republican,High school,White,31-61,Female
Other,Yes,Democratic,College,White,62-95,Female
Other,Yes,Democratic,College,Black,31-61,Female
Other,Yes,Other,Postgrad,White,62-95,Female
Other,No,Republican,College,White,31-61,Female
Other,Yes,Democratic,Other,White,62-95,Male
Other,Yes,Republican,College,White,62-95,Male
Other,Yes,Democratic,Postgrad,White,31-61,Male
Other,No,Republican,Other,White,62-95,Male
Other,Yes,Democratic,Postgrad,American Indian,62-95,Male
Other,Yes,Democratic,College,White,62-95,Female
Other,Yes,Democratic,Postgrad,White,62-95,Female
Other,No,Republican,Postgrad,White,31-61,Female
Other,Yes,Democratic,Postgrad,White,31-61,Male
Other,Yes,Democratic,Other,White,31-61,Female
Other,Yes,Democratic,Other,White,31-61,Female
Other,Yes,Democratic,Postgrad,American Indian,62-95,Female
Other,Yes,Democratic,Other,White,31-61,Male
Other,Yes,Democratic,Postgrad,White,31-61,Female
Other,Yes,Democratic,Postgrad,White,31-61,Female
Other,Yes,Democratic,Postgrad,White,62-95,Male
Other,Yes,Other,Other,White,31-61,Female
Other,Yes,Democratic,Other,White,62-95,Female
Other,Yes,Democratic,Postgrad,Black,62-95,Male
Other,Yes,Other,Other,White,62-95,Male
Other,Yes,Other,Other,White,31-61,Female
Other,Yes,Democratic,Postgrad,White,31-61,Male
Other,Yes,Democratic,Postgrad,White,31-61,Female
Other,Yes,Other,Other,White,31-61,Male
Other,Yes,Other,Other,White,31-61,Female
Other,Yes,Democratic,Other,White,31-61,Female
Other,No,Republican,Postgrad,White,62-95,Male
Other,Yes,Democratic,College,White,62-95,Female
Other,Yes,Democratic,Other,White,62-95,Female
Other,Yes,Democratic,Other,Black,62-95,Female
Other,Yes,Democratic,Postgrad,White,31-61,Female
Other,Yes,Democratic,College,White,62-95,Male
Other,Yes,Democratic,College,White,62-95,Female
Other,Yes,Democratic,High school,White,31-61,Female
Other,Yes,Democratic,Other,White,62-95,Female
Other,Yes,Democratic,College,White,62-95,Female
